ID,Data_Pub,Link,Titulo,Aba,Views,Local,Status,Data_Extracao
Z58ml_rn65Q,23/06/2026,https://www.youtube.com/watch?v=Z58ml_rn65Q,"SEFAZ SP: Conheça Gabriel Santos, aprovado em 32° lugar para Auditor Fiscal",Videos,NA,EstrategiaConcursosBrasil_Parte_1,Sucesso,2026-06-23
mF1JyIFnCuQ,23/06/2026,https://www.youtube.com/watch?v=mF1JyIFnCuQ,"Concurso TCE-RN: conheça Micael Felipe do Santos, 1° lugar (PCD) para Analista Administrativo - TI!",Videos,NA,EstrategiaConcursosBrasil_Parte_1,Sucesso,2026-06-23
uXUhKcQsDWw,22/06/2026,https://www.youtube.com/watch?v=uXUhKcQsDWw,"Concurso TCE-RN: Conheça Jose Felipe da Rocha Oliveira, 6° lugar para Técnico Administrativo!",Videos,NA,EstrategiaConcursosBrasil_Parte_1,Sucesso,2026-06-23
EAnNrDi1VUA,22/06/2026,https://www.youtube.com/watch?v=EAnNrDi1VUA,Concursos Abertos,Videos,NA,EstrategiaConcursosBrasil_Parte_1,Sucesso,2026-06-23
BH0qMMcUaO4,22/06/2026,https://www.youtube.com/watch?v=BH0qMMcUaO4,"MP SE: Athos Miguel Ferreira Dantas, aprovado em 6º lugar para Técnico do Ministério Público",Videos,NA,EstrategiaConcursosBrasil_Parte_1,Sucesso,2026-06-23
Wm4UNs9lbdo,21/06/2026,https://www.youtube.com/watch?v=Wm4UNs9lbdo,"ALERJ: Alessandro Magno, aprovado em 4º lugar para Especialista Legislativo - RH",Videos,NA,EstrategiaConcursosBrasil_Parte_1,Sucesso,2026-06-23
Ym6iaeJq0UA,21/06/2026,https://www.youtube.com/watch?v=Ym6iaeJq0UA,"Nahtti Coelho: aprovada em diversos concursos da área fiscal, controle e legislativa",Videos,NA,EstrategiaConcursosBrasil_Parte_1,Sucesso,2026-06-23
Sx4S51KkDOE,20/06/2026,https://www.youtube.com/watch?v=Sx4S51KkDOE,"DEGASE RJ: Ana Paula Porto, aprovada para o cargo de Agente Administrativo",Videos,NA,EstrategiaConcursosBrasil_Parte_1,Sucesso,2026-06-23
0eDhrS5b4Vk,20/06/2026,https://www.youtube.com/watch?v=0eDhrS5b4Vk,"MP SE: Lhaysla Manuelle Oliveira, aprovada em 2º lugar para Técnico do MP - Área Administrativa",Videos,NA,EstrategiaConcursosBrasil_Parte_1,Sucesso,2026-06-23
iNUz2oMHz1U,19/06/2026,https://www.youtube.com/watch?v=iNUz2oMHz1U,"Fiocruz: Conheça Leiza Kovarik, aprovada para Analista de Gestão em Saúde",Videos,NA,EstrategiaConcursosBrasil_Parte_1,Sucesso,2026-06-23
