ID,Data_Pub,Link,Titulo,Aba,Views,Local,Status,Data_Extracao
sKfp3Ob6TXQ,23/06/2026,https://www.youtube.com/watch?v=sKfp3Ob6TXQ,"Como ter mais autonomia, qualidade de vida e bem-estar depois dos 60 anos? | EP14T3",Videos,,einstein_Parte_1,Sucesso,2026-06-23
uJrlRK1jeG4,22/06/2026,https://www.youtube.com/watch?v=uJrlRK1jeG4,Tudo que um dentista aprende na faculdade,Videos,,einstein_Parte_1,Sucesso,2026-06-23
YHIz5A5CtWw,16/06/2026,https://www.youtube.com/watch?v=YHIz5A5CtWw,"Pele depois dos 50: skincare, cirurgias plásticas e novos cuidados com rosto e cabelo | EP13T3",Videos,,einstein_Parte_1,Sucesso,2026-06-23
8Wlr4syim5c,15/06/2026,https://www.youtube.com/watch?v=8Wlr4syim5c,É só massagem? O que a faculdade de fisioterapia ensina,Videos,,einstein_Parte_1,Sucesso,2026-06-23
QcejnNwasgU,10/06/2026,https://www.youtube.com/watch?v=QcejnNwasgU,Formação contínua em oncologia: acompanhando a velocidade da inovação | Einstein na Asco 2026,Videos,,einstein_Parte_1,Sucesso,2026-06-23
ezfKdCL4WxA,09/06/2026,https://www.youtube.com/watch?v=ezfKdCL4WxA,A importância da pesquisa próxima ao cuidado oncológico | Einstein na Asco 2026,Videos,,einstein_Parte_1,Sucesso,2026-06-23
kWd2tyh12cY,09/06/2026,https://www.youtube.com/watch?v=kWd2tyh12cY,Como a IA está transformando os medicamentos e o tratamento oncológico | Einstein na Asco 2026,Videos,,einstein_Parte_1,Sucesso,2026-06-23
4W0udX8Rqv4,09/06/2026,https://www.youtube.com/watch?v=4W0udX8Rqv4,Climatério e relações familiares: como parceiros e filhos podem apoiar a saúde da mulher | EP12T3,Videos,,einstein_Parte_2,Sucesso,2026-06-23
grX8DUvvqG8,08/06/2026,https://www.youtube.com/watch?v=grX8DUvvqG8,"Multiômica, IA e o futuro da Oncologia de Precisão | Einstein na Asco 2026",Videos,,einstein_Parte_2,Sucesso,2026-06-23
tp7eWbxXe5Y,08/06/2026,https://www.youtube.com/watch?v=tp7eWbxXe5Y,Futuro da Oncologia: assinatura molecular e olhar contínuo para pesquisa | Einstein na Asco 2026,Videos,,einstein_Parte_2,Sucesso,2026-06-23
PzTrcMjvmWg,08/06/2026,https://www.youtube.com/watch?v=PzTrcMjvmWg,Engenharia Biomédica: mitos e verdades sobre a faculdade,Videos,,einstein_Parte_2,Sucesso,2026-06-23
3Lz8vQ7d6ng,05/06/2026,https://www.youtube.com/watch?v=3Lz8vQ7d6ng,Como usar ferramentas de IA na produção científica? | Science Arena,Videos,,einstein_Parte_2,Sucesso,2026-06-23
bZe5ghUiVao,03/06/2026,https://www.youtube.com/watch?v=bZe5ghUiVao,Terapia neoadjuvante para câncer de próstata de alto risco | Einstein na Asco 2026,Videos,,einstein_Parte_2,Sucesso,2026-06-23
sgayQTQj8TU,03/06/2026,https://www.youtube.com/watch?v=sgayQTQj8TU,Turmores cerebrais na Asco 2026 | Einstein na Asco 2026,Videos,,einstein_Parte_2,Sucesso,2026-06-23
HQlFXajeh-Y,03/06/2026,https://www.youtube.com/watch?v=HQlFXajeh-Y,Biopsia líquida para detectar diversos tipos de câncer | Einstein na Asco 2026,Videos,,einstein_Parte_2,Sucesso,2026-06-23
8uCv4hKXHLE,02/06/2026,https://www.youtube.com/watch?v=8uCv4hKXHLE,Avanços em câncer de mama na ASCO 2026 | Einstein na Asco 2026,Videos,,einstein_Parte_2,Sucesso,2026-06-23
IdmahdSRkrE,02/06/2026,https://www.youtube.com/watch?v=IdmahdSRkrE,Terapia tripla do câncer de próstata metastático | Einstein na Asco 2026,Videos,,einstein_Parte_2,Sucesso,2026-06-23
cRmF5MS2NEY,02/06/2026,https://www.youtube.com/watch?v=cRmF5MS2NEY,Câncer de pulmão ALK+: tratamento antes da cirurgia | Einstein na Asco 2026,Videos,,einstein_Parte_2,Sucesso,2026-06-23
N4-0V37CTBc,02/06/2026,https://www.youtube.com/watch?v=N4-0V37CTBc,Desigualdade social e câncer de mama | Einstein na Asco 2026,Videos,,einstein_Parte_2,Sucesso,2026-06-23
Xq3xfYRtnw8,02/06/2026,https://www.youtube.com/watch?v=Xq3xfYRtnw8,Potencial novo tratamento para melanoma uveal | Einstein na Asco 2026,Videos,,einstein_Parte_2,Sucesso,2026-06-23
deUnWdq-KsE,02/06/2026,https://www.youtube.com/watch?v=deUnWdq-KsE,Oncogeriatria de precisão | Einstein na Asco 2026,Videos,,einstein_Parte_2,Sucesso,2026-06-23
yriQs7U6q-A,02/06/2026,https://www.youtube.com/watch?v=yriQs7U6q-A,Câncer de ovário resistente à platina | Einstein na Asco 2026,Videos,,einstein_Parte_2,Sucesso,2026-06-23
Z-i5FU8nbdI,02/06/2026,https://www.youtube.com/watch?v=Z-i5FU8nbdI,Biomarcadores moleculares e histomorfologia na oncologia de precisão | Einstein na Asco 2026,Videos,,einstein_Parte_2,Sucesso,2026-06-23
Bdn1Dk2fo4s,02/06/2026,https://www.youtube.com/watch?v=Bdn1Dk2fo4s,Imunoterapia em microdose para câncer de cabeça e pescoço | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
pVaoxVqVD98,02/06/2026,https://www.youtube.com/watch?v=pVaoxVqVD98,Microbiota intestinal e imunoterapia | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
RpDTDfpOAE0,02/06/2026,https://www.youtube.com/watch?v=RpDTDfpOAE0,Biópsia líquida para detectar diversos tipos de câncer | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
T45BfqtQ0_4,02/06/2026,https://www.youtube.com/watch?v=T45BfqtQ0_4,"Etarismo e saúde: como o preconceito por idade afeta corpo, mente e envelhecimento | EP11T3",Videos,,einstein_Parte_3,Sucesso,2026-06-23
9z3yK2R_hag,01/06/2026,https://www.youtube.com/watch?v=9z3yK2R_hag,Teranóstica na ASCO 2026 | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
ODIL-xQxjd4,01/06/2026,https://www.youtube.com/watch?v=ODIL-xQxjd4,Estudos sobre câncer hereditário | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
